CODUSU,NRO_HOGAR,COMPONENTE,H15,AGLOMERADO_indv,PONDERA_indv,CH03,CH04,CH06,CH10,CH11,CH13,PP02C1,PP02C2,PP02C3,PP02C4,PP02C5,PP02C6,PP02C7,PP02C8,PP02E,PP02H,PP02I,P21,DECOCUR,RDECOCUR,GDECOCUR,ADECOCUR,PONDIIO,TOT_P12,P47T,DECINDR,RDECINDR,GDECINDR,ADECINDR,PONDII,V2_M,V3_M,V4_M,V5_M,V8_M,V9_M,V10_M,V11_M,V12_M,V18_M,V19_AM,V21_M,T_VI,ITF_indv,DECIFR_indv,RDECIFR_indv,GDECIFR_indv,ADECIFR_indv,IPCF_indv,DECCFR_indv,RDECCFR_indv,GDECCFR_indv,ADECCFR_indv,PONDIH_indv,REALIZADA,AGLOMERADO_hogar,PONDERA_hogar,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II8,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF_hogar,DECIFR_hogar,RDECIFR_hogar,GDECIFR_hogar,ADECIFR_hogar,IPCF_hogar,DECCFR_hogar,RDECCFR_hogar,GDECCFR_hogar,ADECCFR_hogar,PONDIH_hogar,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,NIVEL_ED_1,NIVEL_ED_2,NIVEL_ED_3,NIVEL_ED_4,NIVEL_ED_5,NIVEL_ED_6,NIVEL_ED_7,CH07_1,CH07_2,CH07_3,CH07_4,CH07_5,CH07_9,CH08_1.0,CH08_2.0,CH08_3.0,CH08_4.0,CH08_9.0,CH08_12.0,CH09_1,CH09_2,CH09_3,CH12_0,CH12_1,CH12_2,CH12_3,CH12_4,CH12_5,CH12_6,CH12_7,CH12_8,CH12_9,CH12_99,CH15_1,CH15_2,CH15_3,CH15_4,CH15_5,CH15_9,CH16_0,CH16_1,CH16_2,CH16_3,CH16_4,CH16_5,CH16_6,CH16_9,ESTADO_1,ESTADO_2,ESTADO_3,ESTADO_4,CAT_OCUP_0,CAT_OCUP_1,CAT_OCUP_2,CAT_OCUP_3,CAT_OCUP_4,CAT_OCUP_9,CAT_INAC_0,CAT_INAC_1,CAT_INAC_2,CAT_INAC_3,CAT_INAC_4,CAT_INAC_5,CAT_INAC_6,CAT_INAC_7,prop_ninos,Jefe_primaria_incompleta,Jefe_Secundaria_incompleta,Prop_Univ_Incompleto,adulto_equiv,ad_equiv_hogar
TQRMNOSTUHLNKSCDEIJAH00718936,1,4,1,33,3047,3,1,12,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3047,0,0.0,0,0,0.0,0,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3047,1,3,1,4,1,1,1,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,0,5,0,12,12,12.0,12,0.0,12,12,12.0,12,0,2,0,98,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0,0,0.22369683402622323,0.85,4.4
TQRMNOSTUHLNKSCDEIJAH00718936,1,5,1,33,3047,8,2,56,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3047,0,-9.0,12,12,12.0,12,0,-9,0,0,0,0,0,0,0,0,0,0,0,-9,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3047,1,3,1,4,1,1,1,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,0,5,0,12,12,12.0,12,0.0,12,12,12.0,12,0,2,0,98,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,0.22369683402622323,0.76,4.4
TQRMNOSTXHLNKSCDEIJAH00718937,1,1,1,33,3176,1,1,55,2,0,1,2,1,2,2,2,2,1,2,0,0,0,0,0,0,0.0,0,3176,0,0.0,0,0,0.0,0,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,4072,1,33,3176,1,2,1,4,1,1,1,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,4072,1,0,98,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.0,0,0,0.22369683402622323,1.0,1.0
TQRMNOTQTHKOTNCDEIJAH00780120,1,1,1,33,3094,1,2,56,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3094,0,47400.0,2,2,2.0,3,3519,47400,0,0,0,0,0,0,0,0,0,0,0,47400,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.14285714285714285,0,1,0.22369683402622323,0.76,5.49
TQRMNOTQTHKOTNCDEIJAH00780120,1,2,1,33,3094,3,2,27,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5000,1,1,1.0,1,6183,0,15000.0,1,1,1.0,1,5853,0,0,0,10000,0,0,0,0,0,0,0,0,10000,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.14285714285714285,0,0,0.22369683402622323,0.76,5.49
TQRMNOTQTHKOTNCDEIJAH00780120,1,3,1,33,3094,3,2,41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,12,12,12.0,12,0,0,-9.0,12,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.14285714285714285,0,0,0.22369683402622323,0.77,5.49
TQRMNOTQTHKOTNCDEIJAH00780120,1,4,1,33,3094,3,1,25,2,0,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0.0,0,3094,0,0.0,0,0,0.0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.14285714285714285,0,0,0.22369683402622323,1.02,5.49
TQRMNOTQTHKOTNCDEIJAH00780120,1,5,0,33,3094,5,2,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3094,0,0.0,0,0,0.0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.14285714285714285,0,0,0.22369683402622323,0.64,5.49
TQRMNOTQTHKOTNCDEIJAH00780120,1,6,1,33,3094,3,2,36,2,0,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0.0,0,3094,0,0.0,0,0,0.0,0,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.14285714285714285,0,0,0.22369683402622323,0.77,5.49
TQRMNOTQTHKOTNCDEIJAH00780120,1,7,1,33,3094,3,2,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,12,12,12.0,12,0,0,-9.0,12,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3094,1,3,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,6,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,2,3,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.14285714285714285,0,0,0.22369683402622323,0.77,5.49
TQRMNOSUTHJKQMCDEIJAH00794348,1,1,1,33,2849,1,1,44,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,12,12,12.0,12,0,-9,-9.0,12,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,2849,2,3,1,9,1,1,1,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,96,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.25,0,0,0.22369683402622323,1.0,3.16
TQRMNOSUTHJKQMCDEIJAH00794348,1,2,1,33,2849,3,2,13,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,2849,0,0.0,0,0,0.0,0,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,2849,2,3,1,9,1,1,1,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,96,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.25,0,0,0.22369683402622323,0.76,3.16
TQRMNOSUTHJKQMCDEIJAH00794348,1,3,1,33,2849,3,2,12,1,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,2849,0,0.0,0,0,0.0,0,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,2849,2,3,1,9,1,1,1,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,96,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.25,0,0,0.22369683402622323,0.74,3.16
TQRMNOSUTHJKQMCDEIJAH00794348,1,4,0,33,2849,3,2,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2849,0,0.0,0,0,0.0,0,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,2849,2,3,1,9,1,1,1,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,96,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.25,0,0,0.22369683402622323,0.66,3.16
TQRMNOSYSHLOPTCDEIJAH00802160,1,1,1,33,3174,1,2,45,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10000,1,1,1.0,1,5816,0,64000.0,4,4,4.0,4,5639,0,0,0,54000,0,0,0,0,0,0,0,0,54000,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.1111111111111111,0,1,0.22369683402622323,0.77,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,2,1,33,3174,2,1,46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,10000,1,1,1.0,1,6784,0,10000.0,1,1,1.0,1,6214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,1.0,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,3,1,33,3174,3,2,26,2,0,1,0,0,0,0,0,0,0,0,0,0,0,24000,1,1,1.0,1,5027,0,-9.0,12,12,12.0,12,0,0,0,0,0,0,0,0,0,-9,0,0,0,-9,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,0.76,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,4,1,33,3174,3,2,11,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3174,0,0.0,0,0,0.0,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,0.72,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,5,1,33,3174,6,2,66,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,12,12,12.0,12,0,-9,-9.0,12,12,12.0,12,0,-9,0,0,0,0,0,0,0,0,0,0,0,-9,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,0.67,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,6,1,33,3174,3,2,12,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3174,0,0.0,0,0,0.0,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,0.74,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,7,1,33,3174,3,2,14,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3174,0,0.0,0,0,0.0,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,0.76,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,8,0,33,3174,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3174,0,0.0,0,0,0.0,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1111111111111111,0,0,0.22369683402622323,0.37,6.5600000000000005
TQRMNOSYSHLOPTCDEIJAH00802160,1,9,1,33,3174,3,2,16,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,3174,0,9000.0,1,1,1.0,1,3976,0,0,0,0,0,0,0,9000,0,0,0,0,9000,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,3174,1,2,2,4,2,2,1,1,2,1,3,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,9,1,8,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,3,9,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.1111111111111111,0,0,0.22369683402622323,0.77,6.5600000000000005
TQRMNOPXYHLLSSCDEIJAH00718710,1,2,1,33,1978,2,2,57,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-9,12,12,12.0,12,0,0,-9.0,12,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,1978,1,3,1,3,1,1,1,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,2,98,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0.0,0,0,0.22369683402622323,0.76,0.76
TQRMNOUTUHMMTTCDEIJAH00802173,1,1,1,33,1388,1,1,76,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0,1388,0,-9.0,12,12,12.0,12,0,120000,0,0,0,0,0,-9,0,0,0,0,0,-9,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,33,1388,1,4,1,2,1,1,1,1,1,1,1,2,2,2,4,1,2,0,1,2,2,2,0,2,0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,0,1,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,98,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,0.22369683402622323,0.74,0.74
TQRMNORUYHJNNTCDEIIAD00801733,1,1,1,32,2502,1,2,46,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-9,12,12,12.0,12,0,0,-9.0,12,12,12.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,32,2502,2,2,1,9,1,1,1,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,0,12,12,12.0,12,0.0,12,12,12.0,12,0,1,0,98,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,0.22369683402622323,0.76,0.76
